Artist Name,Track Name,Popularity,Explicit,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Mode,Release Year,Duration,Clusters
Sly & Robbie,Plastic Smile - Live,0,Clean,0.431,0.733,G,0.7268546032402263,0.0408,0.0331,0.0895,0.382,140.0,Minor,2019,3.978666666666667,Cluster 1
Sly & Robbie,Sunshine for Me - Live,0,Clean,0.612,0.639,C,0.8127955349990956,0.0543,0.325,0.111,0.326,92.0,Major,2019,3.5342166666666666,Cluster 1
Sly & Robbie,Close to You,3,Clean,0.67,0.668,E,0.782357045037596,0.0587,0.00538,0.161,0.373,79.0,Minor,2018,4.162716666666666,Cluster 1
Sly & Robbie,Shine Eye Girl - Live,0,Clean,0.476,0.757,G#/Ab,0.7660267176558745,0.0453,0.223,0.112,0.486,138.0,Major,2019,4.754,Cluster 1
Sly & Robbie,Argentina Dub - Dennis Bovell Version,5,Clean,0.572,0.769,C,0.7998242939458928,0.0848,0.0019,0.23,0.743,90.0,Major,2020,3.4909666666666666,Cluster 1
Sly & Robbie,Unmetered Taxi - Live,0,Clean,0.615,0.844,D,0.7520735898297202,0.0735,0.0545,0.632,0.531,82.0,Major,2019,2.4631166666666666,Cluster 1
Sly & Robbie,Sweet Wood,1,Clean,0.75,0.423,G#/Ab,0.7794372238443451,0.212,0.103,0.0751,0.568,75.0,Major,2018,4.373583333333333,Cluster 2
Sly & Robbie,Dub Nobody,0,Clean,0.855,0.294,C,0.7287925376605255,0.0837,0.00345,0.0455,0.686,136.0,Major,2018,2.6406666666666667,Cluster 2
Sly & Robbie,Mighty Bertus,1,Clean,0.748,0.696,B,0.7849151184723909,0.0723,0.00769,0.124,0.533,154.0,Major,2018,3.5424,Cluster 3
Sly & Robbie,"Dub My Mind (Bunny ""Striker"" Lee Dub)",16,Clean,0.714,0.486,G,0.752306141960156,0.0612,0.00704,0.54,0.548,93.0,Major,2022,3.933233333333333,Cluster 1
Sly & Robbie,Mind Your Dub (Don Camel Dub),17,Clean,0.771,0.424,A#/Bb,0.7227720213947959,0.0855,0.00474,0.331,0.528,138.0,Major,2022,3.9082666666666666,Cluster 2
